labels	quotes	stats	but	adj	advs	negations	survey	averagesent	proper	report	conj	comparative	superlat	questions	meme	personal	mon	modal	statives	strah	udivlen	zol	jdu	fu	ura	negati	positi	grustno	doverie	abstract_nouns	assertion_words	discourse_markers	claims	modality_words	cons	reas	purp	relat	tim	cond	passive	lentok
n	9	0	3	19	16	1	0	26.384615384615383	34	7	12	0	1	1	2	10	0	1	17	9	0	1	4	0	1	12	9	4	9	66	0	1	5	2	0	4	5	5	2	0	8	343
n	2	0	2	19	13	0	0	29.25	18	2	11	0	0	0	0	3	0	0	7	7	5	10	2	6	2	12	7	6	4	42	0	0	3	0	1	7	1	0	1	1	2	234
n	10	0	1	23	16	0	1	23.9	19	2	10	2	0	0	0	8	0	0	16	7	2	3	4	1	3	7	7	5	4	28	0	0	4	1	2	4	4	1	3	2	3	239
n	4	0	1	14	9	1	0	20.9	20	1	9	0	0	0	3	7	0	1	17	10	1	8	2	2	0	11	9	4	2	32	0	2	2	2	1	3	3	1	1	1	2	209
n	1	0	0	7	3	0	0	18.125	21	2	9	0	0	0	0	3	0	0	12	5	1	5	3	0	0	7	5	3	1	25	0	0	4	1	0	6	5	1	1	1	1	145
n	21	0	2	38	28	1	2	28.363636363636363	68	12	31	1	0	3	0	19	1	4	36	15	4	10	15	2	4	19	29	4	18	82	2	0	14	3	1	23	7	10	3	3	4	624
n	0	0	0	13	10	0	0	35.714285714285715	31	4	9	0	1	0	0	5	0	2	10	12	5	8	7	4	4	17	11	9	10	50	1	0	7	3	0	6	4	4	3	0	1	250
n	12	0	3	27	17	0	1	33.61538461538461	39	5	22	3	0	0	0	12	0	0	30	1	3	1	13	0	3	2	33	1	9	74	1	0	1	7	0	21	7	10	2	1	3	437
n	30	0	2	48	17	1	0	24.391304347826086	56	2	21	1	2	1	0	9	1	2	21	4	3	4	13	2	8	9	38	6	19	72	0	2	12	4	0	10	4	6	0	1	3	561
n	8	0	0	6	4	0	0	19.714285714285715	24	4	4	0	0	0	0	5	0	0	5	3	3	2	6	1	5	5	7	1	6	23	1	0	4	0	0	3	1	2	0	0	0	138
n	6	0	0	13	3	0	0	12.846153846153847	24	3	1	0	0	0	1	2	0	1	3	7	1	4	8	0	3	5	19	0	14	30	1	0	6	0	0	2	0	0	1	0	1	167
n	6	0	0	13	2	0	0	11.066666666666666	23	3	1	0	0	0	1	2	0	1	3	7	1	4	8	0	3	5	18	0	14	29	1	0	6	0	0	2	0	0	1	0	1	166
n	90	4	21	164	155	7	3	15.403225806451612	178	29	107	2	5	9	16	151	0	12	159	68	20	43	62	27	42	123	111	37	84	486	13	16	71	18	1	80	39	47	19	10	30	2865
n	2	0	0	9	2	0	0	17.375	20	1	1	0	0	0	0	2	0	0	1	12	3	9	7	3	0	13	13	7	5	23	1	0	1	0	0	2	1	0	1	0	0	139
t	4	0	0	17	9	0	1	29.875	19	4	4	0	0	0	0	2	0	1	8	10	2	9	2	2	0	10	5	2	6	50	1	0	6	3	1	4	2	2	0	0	3	239
t	23	2	6	52	23	0	0	29.96875	110	18	40	0	1	0	3	24	3	3	72	17	2	16	16	6	9	43	45	5	37	218	1	2	14	3	2	39	9	16	6	2	19	959
t	18	0	2	37	30	1	1	30	42	12	19	1	0	1	2	21	0	9	35	18	2	8	8	4	2	21	21	10	13	106	3	1	6	3	0	25	5	4	8	3	12	630
t	51	0	2	106	40	5	0	24.459016393442624	144	35	59	2	0	2	2	25	5	3	70	70	30	54	42	12	26	87	92	48	76	323	7	1	37	3	1	44	13	13	8	3	16	1492
t	41	0	3	93	32	3	0	33.15	145	33	59	0	0	0	6	25	1	3	71	52	10	41	31	10	16	70	72	28	48	285	6	4	37	3	1	45	6	20	10	6	12	1326
t	32	0	4	40	31	1	2	48.5	69	19	30	1	1	0	5	30	0	4	57	25	6	14	14	3	3	34	25	14	16	165	1	2	14	4	0	28	9	18	7	1	13	776
t	6	0	1	22	17	2	0	24.210526315789473	73	8	17	0	0	0	3	9	0	2	27	7	2	10	13	3	5	13	21	4	15	80	2	3	5	3	1	27	9	3	5	1	8	460
t	8	0	1	39	5	0	1	29.153846153846153	34	8	9	0	1	0	1	6	0	1	23	5	1	4	6	1	11	10	20	1	25	70	0	1	14	10	0	15	5	3	2	0	2	379
t	10	0	1	37	14	0	0	28.066666666666666	15	5	13	0	0	0	0	4	0	0	22	16	7	18	10	10	5	24	22	17	17	112	0	1	4	3	0	10	3	3	2	0	5	421
t	67	0	10	107	113	2	1	22.426966292134832	73	16	93	2	3	6	40	115	0	6	146	52	21	24	51	4	29	62	60	22	54	293	3	5	56	13	4	57	25	27	19	22	23	1996
t	12	0	5	67	33	2	0	23.209302325581394	76	10	48	2	2	0	3	29	1	0	69	29	13	11	29	4	22	34	40	14	25	175	2	6	23	3	1	29	11	3	20	1	13	998
t	18	1	2	68	43	0	3	22.627906976744185	128	12	28	1	4	0	5	23	3	1	50	13	5	11	19	2	13	21	44	7	40	227	5	10	13	11	1	44	13	11	11	3	11	973
t	17	3	5	82	35	0	1	36.166666666666664	71	11	60	9	1	0	6	23	2	4	50	31	6	9	30	1	9	39	59	15	33	220	1	0	17	13	2	43	12	22	2	5	6	1085
t	27	0	1	70	20	1	0	23.24137931034483	67	17	17	0	0	1	2	6	0	3	39	31	11	24	19	3	11	40	37	20	41	141	1	0	21	3	0	24	5	5	5	3	11	674
t	26	2	4	93	45	1	0	35.46875	150	14	45	1	3	0	0	18	3	4	63	22	7	25	20	7	12	41	69	16	49	170	8	0	19	11	0	53	15	8	11	4	8	1135
t	2	0	1	131	60	0	0	20.896103896103895	190	15	64	5	2	7	2	12	2	1	52	65	12	63	29	7	16	91	78	25	43	267	5	3	38	11	2	61	16	12	11	2	18	1609
t	20	0	5	102	54	4	1	19.2	86	3	50	4	2	9	10	34	1	4	71	13	19	2	37	3	32	20	71	7	37	179	4	10	20	5	0	49	19	15	7	7	11	1248
t	47	0	7	118	49	2	1	27.19298245614035	140	19	59	4	0	1	1	22	0	9	61	44	17	40	34	3	25	91	90	23	87	394	5	8	36	16	0	51	19	16	3	6	8	1550
t	5	1	3	113	39	3	1	22.5609756097561	47	9	39	3	3	1	0	8	0	7	57	41	4	25	25	7	7	61	40	17	23	200	19	0	36	7	5	25	17	13	6	5	8	925
t	2	0	8	76	36	3	0	15.904761904761905	30	4	61	4	2	1	1	49	1	10	55	32	11	30	21	16	17	55	46	17	29	160	2	0	11	6	0	18	7	11	1	3	16	1002
t	10	0	0	13	20	0	0	23.4375	52	7	15	0	0	0	0	19	0	1	14	7	11	7	6	3	4	13	13	6	8	73	0	3	1	1	0	10	5	4	4	0	3	375
t	2	0	1	33	5	0	2	27.8125	47	7	12	0	0	0	3	7	0	3	21	4	6	11	13	3	6	17	27	7	24	73	3	2	8	0	0	22	3	7	3	1	2	445
t	32	3	2	91	61	0	23	30.675	62	16	68	11	3	0	0	16	0	13	70	39	7	14	25	16	6	54	89	17	45	199	3	6	19	13	1	62	14	26	5	6	15	1227
t	9	1	1	45	15	0	0	33.76190476190476	51	8	26	1	0	0	0	9	14	2	23	15	14	18	29	0	20	32	40	20	27	130	4	3	9	6	1	21	7	6	9	1	8	709
t	29	2	24	288	281	9	1	15.32899022801303	312	22	171	15	2	14	125	332	0	18	340	40	35	28	114	21	122	73	257	77	120	736	8	21	113	66	11	166	76	70	45	31	27	4706
t	36	3	25	417	179	7	1	21.180672268907564	119	33	240	15	5	2	131	230	2	35	364	115	40	72	166	45	157	187	332	118	168	851	12	13	206	24	5	139	53	71	49	45	48	5041
t	133	0	14	166	89	5	0	19.44078947368421	148	50	111	2	2	3	36	136	0	15	205	103	38	58	68	33	72	127	132	68	116	407	8	9	62	9	3	65	28	18	17	22	43	2955
t	21	0	10	124	64	0	1	27.06122448979592	65	9	56	3	2	3	6	40	2	5	86	22	8	7	35	4	27	23	81	17	47	273	3	1	26	3	1	63	23	24	13	7	13	1326
t	16	0	4	79	28	2	1	20.608695652173914	30	9	34	5	2	1	20	28	0	3	51	51	15	22	30	4	13	45	52	18	36	196	2	4	39	5	3	30	9	15	6	10	10	948
t	5	0	4	85	38	1	0	22.914893617021278	73	2	62	4	1	2	5	26	1	7	72	51	11	29	16	11	9	64	65	41	29	220	14	3	13	8	0	25	9	14	10	5	18	1077
t	6	0	4	77	33	0	1	17.26388888888889	160	11	48	1	2	7	7	36	10	7	83	8	10	12	34	6	19	22	82	9	46	207	4	6	25	5	4	36	16	15	6	7	16	1243
t	1	0	1	31	11	2	0	26.76	152	4	26	0	0	1	0	5	0	1	17	10	5	8	17	3	7	16	29	8	18	121	4	1	6	5	0	13	6	3	8	4	6	669
t	16	1	0	25	10	1	0	26.4375	60	5	15	3	0	0	2	4	0	3	24	9	5	5	17	2	10	13	28	5	18	102	2	3	6	3	3	5	6	1	0	0	5	423
t	0	0	1	21	11	2	0	27.625	17	1	9	3	1	0	0	5	0	2	13	15	2	7	7	2	3	15	9	5	10	42	2	1	5	1	0	6	1	0	1	1	2	221
t	24	0	8	213	90	3	1	17.84328358208955	277	22	93	4	2	7	4	37	0	14	122	83	28	64	57	16	29	134	137	29	98	376	24	4	60	5	2	107	34	26	22	8	19	2391
t	43	0	4	109	70	3	1	25.234375	119	27	66	10	2	2	0	30	2	7	71	70	12	26	34	13	12	60	71	16	41	337	2	9	41	11	4	56	14	24	6	9	16	1615
t	12	0	1	55	23	1	0	31.73913043478261	46	9	31	3	1	0	2	35	0	9	38	24	6	24	16	9	5	34	35	10	28	155	6	1	14	4	0	21	10	17	1	10	12	730
t	9	2	0	25	3	0	0	27.2	63	5	11	2	0	0	0	7	0	2	19	3	0	3	2	1	3	9	19	3	13	71	0	0	8	0	0	13	0	4	1	0	3	408
t	10	1	1	47	11	0	0	36.07692307692308	40	9	16	1	1	0	1	4	4	2	17	18	12	7	16	1	9	21	30	6	24	130	0	0	2	4	0	14	3	1	4	2	2	469
t	8	0	0	19	13	0	0	24.933333333333334	37	4	12	0	1	0	1	6	0	1	17	12	1	7	8	3	1	17	16	10	7	68	0	2	6	1	0	15	11	3	2	1	3	374
t	7	0	1	26	6	0	0	27.11111111111111	24	3	6	0	0	0	0	0	0	0	10	4	1	6	3	2	1	10	6	2	6	61	3	1	3	0	0	16	2	2	3	0	1	244
t	16	0	3	70	61	2	0	25.5	80	29	34	14	3	0	8	41	6	2	57	11	15	10	41	1	24	26	60	14	34	197	0	1	16	2	0	40	13	8	12	8	8	1173
t	36	0	7	135	84	1	1	22.541176470588237	204	7	85	2	2	0	21	58	0	5	79	33	27	20	57	8	58	34	126	16	56	313	0	7	23	13	2	44	22	10	7	10	10	1916
t	24	1	10	126	72	14	1	28.6056338028169	156	16	103	4	2	0	3	26	0	7	90	95	28	56	62	32	34	108	111	60	88	376	3	1	28	6	0	76	29	14	14	11	27	2031
t	27	0	1	41	18	0	0	20.441176470588236	31	10	29	2	0	0	16	41	0	3	38	11	13	9	17	1	25	11	38	16	28	100	0	0	19	3	1	21	12	5	8	7	3	695
r	4	1	3	103	28	11	0	17.2972972972973	138	33	50	12	1	2	5	20	1	7	61	64	17	42	33	4	23	69	76	31	55	211	2	2	26	4	0	43	9	9	10	2	11	1280
r	2	1	2	50	16	3	0	19.64516129032258	108	17	28	3	2	1	3	10	0	4	25	14	8	8	15	1	11	23	38	5	28	61	2	2	16	3	1	31	4	7	4	2	4	609
r	0	0	2	30	14	1	0	17.6	109	5	19	4	0	1	0	10	0	5	21	15	6	12	9	1	5	19	39	7	23	65	1	2	22	1	0	15	3	2	1	0	6	528
r	4	1	4	89	25	1	0	20.05263157894737	159	18	50	5	3	0	4	17	3	6	56	22	9	25	26	6	25	42	70	9	47	226	0	1	5	4	0	40	12	8	6	1	9	1143
r	0	2	3	90	26	0	0	19.140350877192983	167	16	42	16	1	0	0	20	1	2	45	19	3	9	23	3	7	25	43	10	30	102	3	1	15	2	0	39	11	10	3	4	6	1091
r	0	1	0	34	17	0	0	11.49056603773585	123	8	15	0	2	0	3	9	2	0	37	4	0	10	3	0	0	15	25	1	24	95	0	1	9	5	0	25	5	2	4	0	7	609
r	1	5	3	40	22	0	1	22.695652173913043	61	5	14	7	0	0	1	4	1	2	18	5	3	6	14	1	7	16	23	4	11	94	0	4	6	2	0	10	4	3	7	0	4	522
r	0	0	3	76	29	2	0	17.959183673469386	130	17	39	6	0	2	0	18	0	5	48	5	8	10	18	2	7	23	65	5	43	145	2	2	31	8	0	22	7	16	5	5	12	880
r	0	0	0	36	8	0	0	20.565217391304348	61	9	14	2	0	0	1	6	0	0	20	27	5	16	7	4	5	23	25	12	29	70	3	1	7	6	0	17	4	8	4	2	8	473
r	2	0	0	49	16	0	0	13.775	81	4	18	7	0	0	0	6	4	2	18	15	2	13	10	3	1	19	25	9	25	67	0	2	16	3	1	22	4	3	2	1	2	551
r	0	0	1	57	20	1	0	25.178571428571427	125	15	28	0	0	0	3	14	0	2	32	16	6	12	6	1	3	29	30	4	27	147	0	0	34	3	1	16	5	8	10	3	6	705
r	0	0	1	9	9	0	0	16.09090909090909	19	4	7	0	0	0	0	5	0	0	13	5	4	3	2	0	0	7	4	1	8	33	0	0	7	1	0	10	5	4	1	0	4	177
r	0	0	0	9	6	0	0	26.571428571428573	40	2	3	0	0	0	0	2	0	0	12	10	0	7	3	1	0	10	9	1	6	44	0	0	6	0	0	3	1	1	0	0	6	186
r	1	0	3	49	23	2	0	20.275	104	12	34	4	1	0	2	17	0	3	41	29	9	23	15	7	11	45	33	26	24	109	2	0	12	1	0	28	11	8	6	3	8	811
r	0	0	0	19	4	0	0	15.65	44	9	9	1	0	0	0	4	4	0	6	5	6	5	6	0	0	8	12	5	7	38	3	0	7	0	0	10	4	2	0	0	3	313
r	2	1	0	70	28	4	1	17.643564356435643	301	27	29	6	1	1	9	31	28	0	73	31	10	13	19	4	12	39	69	11	48	210	1	2	39	0	0	54	18	8	8	7	26	1782
r	2	6	4	105	40	2	2	23.70689655172414	161	22	43	8	1	1	0	16	10	4	61	33	10	23	24	6	11	59	51	21	41	179	5	6	39	3	0	58	24	9	12	3	12	1375
r	1	0	3	86	28	1	1	23.5	103	21	32	5	1	0	1	14	1	6	53	14	6	14	21	3	18	24	72	5	74	172	5	3	21	2	1	29	19	11	1	3	7	987
r	4	0	4	250	61	2	0	21.193103448275863	405	40	69	3	2	0	0	20	0	14	109	151	18	97	37	19	13	151	158	36	91	464	3	11	48	7	2	89	12	20	6	6	22	3073
r	0	0	0	4	1	0	0	36	3	0	0	0	0	0	0	0	0	0	1	3	1	3	3	0	3	3	3	1	2	7	0	0	0	0	0	2	0	0	1	0	0	36
r	0	0	0	5	1	0	0	28	0	0	3	0	0	0	0	0	0	0	2	3	0	4	1	1	0	3	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	28
r	3	1	1	71	32	0	1	21.098039215686274	110	16	29	0	0	0	6	31	0	2	53	30	10	16	21	4	25	33	62	21	43	197	2	2	22	5	0	22	15	16	7	4	6	1076
r	0	0	1	29	10	0	0	21.16	60	13	12	2	0	0	1	7	2	1	21	26	7	29	18	13	3	39	23	21	19	117	7	0	15	0	0	7	7	9	1	1	6	529
r	2	5	5	102	65	0	2	26.615384615384617	110	9	44	3	0	0	0	11	8	18	52	35	27	28	31	3	13	64	91	18	53	285	3	1	34	9	1	67	17	13	11	3	10	1384
r	4	1	5	69	21	0	0	22.42105263157895	146	10	30	6	1	0	17	26	1	1	37	33	6	28	17	8	8	47	44	11	34	128	1	0	12	2	0	24	11	6	2	5	5	852
r	0	0	1	15	6	2	0	17.6	52	3	4	1	0	0	0	1	0	3	9	9	1	7	2	1	4	10	18	6	11	47	0	0	9	1	0	9	2	3	0	0	3	264
r	2	0	0	16	2	1	0	17.470588235294116	42	9	9	1	0	0	1	2	0	0	6	10	5	9	6	3	4	15	17	7	16	42	0	0	4	0	0	8	3	2	2	0	0	297
r	0	7	4	34	15	0	0	18.12	72	9	13	2	1	0	0	9	2	3	21	12	1	4	8	1	4	9	24	1	14	57	0	1	12	1	0	17	7	3	2	2	3	453
r	1	18	0	64	26	1	0	18.319148936170212	109	7	21	5	2	0	1	4	3	3	20	16	14	9	36	6	15	32	62	9	37	133	1	1	13	5	0	25	10	4	9	2	3	861
r	0	2	4	77	41	3	0	22.666666666666668	119	9	40	5	2	0	0	12	3	3	48	14	9	12	28	3	6	24	50	10	27	173	2	4	17	3	0	40	11	5	6	3	14	1156
r	0	0	0	13	4	0	0	18.9	40	2	3	0	0	0	0	1	0	0	6	6	3	2	4	0	2	5	8	1	6	26	0	0	2	0	0	3	3	2	2	0	2	189
r	2	0	3	55	11	1	0	26.428571428571427	109	19	23	1	0	0	0	11	0	4	30	6	7	7	16	7	13	12	46	6	38	144	4	0	12	9	0	18	4	10	2	1	6	740
r	0	0	2	36	19	1	1	19.36	54	11	17	2	1	0	0	3	4	1	16	16	9	12	9	6	2	19	34	14	17	65	0	0	6	2	0	17	9	2	5	1	5	484
r	0	0	0	36	11	0	0	17.72	48	6	10	2	1	0	0	2	5	1	12	5	1	5	5	3	0	7	14	4	8	74	0	3	6	2	0	19	3	1	3	0	4	443
r	0	2	0	22	9	0	0	18	73	1	10	4	2	0	0	0	3	2	1	5	3	5	9	3	5	9	26	3	8	57	0	0	2	2	0	7	2	0	0	0	0	342
r	0	0	0	9	2	0	0	17.75	45	3	3	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	8	2	6	21	0	0	6	0	0	1	2	0	0	0	0	142
r	1	5	3	20	14	1	0	17.77777777777778	82	6	15	1	0	0	0	4	0	2	11	8	2	8	5	1	3	12	19	6	10	65	1	0	8	3	0	12	11	1	1	1	1	480
r	3	4	2	62	18	1	0	18.123711340206185	330	13	57	1	0	0	0	5	0	0	24	26	34	28	51	8	38	41	92	27	46	296	0	3	3	0	0	57	21	7	5	1	4	1758
r	3	0	1	48	20	0	0	33.416666666666664	118	4	22	2	1	0	8	22	0	1	36	10	15	9	34	0	27	19	51	9	31	167	2	0	14	2	0	29	8	11	5	2	8	802
r	0	0	1	35	13	0	0	23.545454545454547	71	7	14	4	0	0	5	14	0	2	20	12	7	13	17	3	18	21	36	10	24	103	0	2	13	3	0	14	3	4	3	4	2	518
r	0	0	0	11	5	0	0	21.636363636363637	60	1	7	1	0	0	0	1	0	0	11	1	0	2	3	0	1	4	11	0	4	18	1	0	9	0	0	4	2	1	1	1	2	238
r	0	0	0	13	4	0	0	26.272727272727273	65	6	7	0	0	0	0	6	1	0	6	7	5	4	10	1	5	7	17	5	12	45	2	0	4	0	0	10	9	2	1	0	1	289
r	0	0	3	48	28	0	0	21.257142857142856	72	15	37	2	1	0	0	14	0	7	43	36	4	20	18	3	9	41	33	9	20	105	6	2	13	3	0	21	5	7	4	6	9	744
r	4	0	2	73	14	0	0	24.970588235294116	65	14	40	6	2	0	0	15	1	3	56	13	7	12	14	3	7	25	54	11	47	151	6	0	17	4	0	36	5	18	2	2	9	849
r	0	0	2	44	25	0	2	26.458333333333332	65	12	18	5	0	0	0	6	0	6	25	20	8	6	20	1	4	22	35	2	36	107	3	1	17	2	0	14	7	6	4	0	6	635
r	8	1	0	44	11	0	1	24.526315789473685	50	6	18	5	0	0	0	9	1	4	23	7	4	4	12	2	7	15	31	2	20	98	2	0	9	0	0	23	4	2	3	3	4	466
r	0	0	0	28	17	0	0	21.72	78	6	15	1	2	0	0	5	0	3	20	17	3	16	12	1	3	22	29	5	22	138	0	1	4	1	0	32	13	1	3	0	10	543
r	0	8	0	40	12	0	0	24.545454545454547	91	8	23	1	0	0	0	4	2	0	7	13	7	5	16	2	11	15	30	2	26	80	0	0	9	6	0	13	8	6	4	0	1	540
r	1	3	2	92	36	1	0	22.72222222222222	138	13	39	5	0	0	0	15	5	4	56	18	15	10	36	0	20	27	82	8	38	200	5	2	22	6	1	44	11	15	3	12	15	1227
r	4	5	8	78	42	2	0	20.857142857142858	92	6	43	2	1	1	0	7	1	5	57	28	11	16	24	7	9	33	56	11	43	223	0	1	31	9	0	33	6	9	4	3	14	1022
r	2	10	7	64	40	0	0	23.705882352941178	66	5	37	1	1	0	0	6	0	5	36	12	5	15	17	3	4	23	29	9	16	131	0	5	30	3	0	20	10	8	5	1	6	806
r	0	3	2	71	45	0	0	28.696969696969695	82	2	33	3	1	1	0	7	8	2	37	13	6	14	14	3	10	25	42	3	16	196	3	3	17	5	2	33	11	9	7	2	9	947
r	5	1	2	26	15	1	0	19.923076923076923	63	9	17	0	0	1	1	24	0	1	28	8	5	1	7	3	6	10	24	5	10	54	5	3	13	5	0	14	8	8	1	0	3	518
r	0	0	1	43	16	0	0	20.741935483870968	76	3	19	2	0	0	1	7	0	0	28	37	10	25	15	2	12	41	40	13	18	111	2	2	13	0	2	18	7	6	5	0	9	643
r	3	0	0	33	16	1	0	15.166666666666666	49	5	7	1	0	0	0	13	0	1	22	20	2	9	15	0	5	25	31	7	14	72	0	4	12	0	0	10	4	0	8	2	5	455
r	0	0	2	47	20	0	0	18.96969696969697	59	7	24	1	2	0	0	18	0	3	35	18	8	16	11	4	10	29	39	9	18	118	2	1	8	3	0	17	5	7	2	1	14	626
r	1	0	3	54	19	2	0	26.75862068965517	76	9	38	0	0	0	3	19	0	0	33	30	9	23	20	4	16	38	47	16	26	144	0	1	10	3	0	14	8	10	6	6	6	776
r	0	0	0	21	2	0	0	23.23076923076923	53	1	6	1	0	0	0	1	0	0	3	3	3	3	4	1	3	10	17	4	11	51	0	0	2	1	0	10	6	0	0	1	1	302
r	0	0	0	23	7	0	0	16.26923076923077	83	1	13	1	0	0	3	9	0	0	15	7	12	5	12	0	20	7	33	5	19	99	0	1	11	0	0	12	5	3	2	1	5	423
r	0	0	3	79	29	4	2	26.225	124	1	30	5	1	0	0	6	18	1	39	21	18	15	34	12	20	25	57	16	31	219	0	3	19	8	0	26	8	12	6	1	3	1049
r	3	0	0	30	13	0	0	19.956521739130434	69	5	14	2	0	0	3	7	0	1	8	8	5	2	9	2	12	13	30	8	27	88	0	0	16	0	1	10	7	3	4	0	2	459
r	2	0	3	34	32	1	0	26	68	6	25	2	0	0	4	19	0	3	21	16	9	6	14	2	11	24	25	8	16	69	0	2	3	2	0	16	3	6	5	6	3	598
r	108	8	12	299	170	6	18	20.733050847457626	457	82	151	16	3	4	3	71	3	15	188	176	28	63	129	58	62	172	286	74	189	930	13	6	161	55	4	118	47	71	32	41	41	4893
r	10	2	3	98	47	1	0	22.208333333333332	102	10	43	6	2	0	1	19	1	7	64	12	6	5	24	4	18	30	55	12	37	221	5	5	21	4	2	34	9	19	8	3	6	1066
r	1	1	2	32	15	0	0	13.137931034482758	60	3	7	8	1	0	0	5	2	4	10	7	3	6	9	1	5	11	21	2	20	34	1	2	17	3	0	7	5	1	0	2	3	381
r	3	0	3	37	13	0	2	11.933333333333334	50	4	11	8	0	0	0	0	0	2	19	8	5	6	10	3	2	12	19	3	15	45	0	1	16	0	0	8	1	2	1	0	4	358
r	2	1	2	48	17	0	0	19.64516129032258	101	7	21	2	0	0	0	3	0	4	28	7	5	9	9	7	5	20	41	7	28	103	0	4	15	5	1	23	8	8	6	3	4	609
r	4	2	1	48	12	0	0	15.86111111111111	83	4	25	1	0	0	0	8	1	0	31	12	6	9	11	2	3	23	30	9	14	74	0	1	16	8	2	20	2	8	6	4	4	571
r	5	0	3	89	39	0	0	20.21276595744681	63	3	49	6	0	0	0	6	0	6	37	26	11	14	29	6	10	25	64	10	41	191	1	0	13	3	0	15	14	11	3	8	11	950
r	1	0	2	62	28	1	0	22.580645161290324	73	5	33	8	0	0	1	9	1	5	25	27	13	13	20	4	11	33	41	17	33	119	0	4	22	5	1	14	6	7	1	3	5	700
r	0	1	2	62	29	2	0	16.79591836734694	111	15	27	4	1	0	0	17	0	5	32	11	7	9	11	2	4	24	45	13	22	114	10	6	24	4	3	25	12	9	2	1	3	823
r	0	7	4	54	24	1	0	17.325581395348838	68	7	20	4	1	0	8	10	1	4	37	7	6	8	18	2	7	16	32	6	31	112	2	0	30	2	0	40	8	7	1	0	3	745
r	0	3	2	64	29	0	0	20.970588235294116	72	7	20	4	0	0	0	5	6	4	36	4	3	6	18	3	8	17	39	7	15	124	1	1	19	5	2	28	5	12	6	0	6	713
r	1	2	0	39	16	1	0	14.62962962962963	44	3	10	7	2	1	0	0	2	2	21	3	4	3	7	1	4	10	20	1	10	48	1	1	19	0	0	9	2	3	1	0	3	395
r	0	4	0	57	27	2	0	18.242424242424242	53	5	26	4	2	0	0	5	4	4	24	23	9	12	16	7	8	38	39	12	24	108	1	2	20	3	2	18	6	7	6	4	4	602
