Духовные скрепы 	Духовні скріпи	Spiritual scrapes 	Spiritual clinches 	Spirituelle s'accroche 	Zgârieturi spirituale 
Денацификпция 	Денацифікація	Denacification 	Denazification 	Dénazification 	Denacizare 
Деукраинизация	Деукраїнізація	DeUkrainianization	De-Ukrainianisation	Dé-Ukrainianisation	Deucrainizarea
Демилитаризация 	Демілітаризація	Demilitarization 	Demilitarisation 	Démilitarisation 	Demilitarizare 
Киевский режим 	Київський режим	Kiev regime 	Kiev regime 	Le régime de Kiev 	Regimul de la Kiev 
Спецоперация 	Спецоперація	Special operation 	Special operation 	Opération spéciale 	Operațiune specială 
На Украине 	На Україні	On Ukraine	On Ukraine	Dans Ukraine	Cu privire la Ucraina
В Украине	В Україні	In Ukraine	In Ukraine	En Ukraine	În Ucraina
В Донбасе 	У Донбасі	In Donbass 	In Donbass 	Dans le Donbass 	În Donbass 
Хунта	Хунта	Junta	Junta	Junta	Junta
Киевская власть 	Київська влада	Kiev regime 	Kiev regime 	Le régime de Kiev 	Regimul de la Kiev 
Государственный переворот	Державний переворот	Coup d'etat	Coup d'etat	Coup d'Etat	Lovitură de stat
Воссоединение Крыма и Севастополя с Россией 	Возз'єднання Криму та Севастополя з Росією	Reunification of Crimea and Sevastopol with Russia 	Reunification of Crimea and Sevastopol with Russia 	Réunification de la Crimée et de Sébastopol avec la Russie 	Reunificarea Crimeei și a Sevastopolului cu Rusia 
Возвращение Крыма	Повернення Криму	Return of Crimea	Return of Crimea	Retour de la Crimée	Restituirea Crimeei
Гражданская война	Громадянська війна	Civil War	Civil War	Guerre civile	Război civil
Граница Украины с Крымом	Кордон України з Кримом	Ukraine Border with the Crimea	Ukrainian border with Crimea	Frontière ukrainienne avec la Crimée	Frontiera Ucrainei cu Crimeea
Экспорт Украины с Крымом 	Експорт України з Кримом	Export of Ukraine with Crimea 	Ukrainian exports to Crimea 	Exportations ukrainiennes vers la Crimée 	Exportul Ucrainei cu Crimeea 
ДНР	ДНР	DNR	DNR	DNR	RND
ЛНР	ЛНР	LNR	LNR	LNR	RNL
Народные республики Донбасса	народні республіки Донбасу	People's Republics of Donbass	People's republics of Donbas	Républiques populaires de Donbas	Republicile populare din Donbass
Самопровозглашенные республики	самопроголошені республіки	Self-proclaimed republics	Self-proclaimed republics	Républiques autoproclamées	Republici autoproclamate
ГраницыЛНР/ДНР	кордон ЛНР/ДНР	Borders of LNR/DNR	Borders of LNR/ DNR	des frontières  de LNR/ DNR	Frontierele RND/RNL
российские добровольцы	російські добровольці	Russian volunteers	Russian volunteers	Les volontaires russes	Voluntari ruși
самооборона	самооборона	self-defense	self-defence	autodéfense	autoapărare
Ополчение 	Ополчення	Militia 	Militia 	Milice 	Miliție 
отставники	відставники	retirees	retirees	retraités	pensionari
отпускники	відпускники	vacationers	vacationers	vacanciers	turiști
Новороссия	Новоросія	Novorossiya	Novorossiya	Novorossiya	Novorusia
Юго-Восточная Украина	Південно-Східна Україна	Southeast Ukraine	South-eastern Ukraine	Sud-est de l'Ukraine	sud-estul Ucrainei
Юго-Восток Украины	Південний Схід України	Southeast Ukraine	South-East Ukraine	Sud-est de l'Ukraine	Ucraina de sud-est
Прибалтика	Прибалтика	Baltic countries	Baltic countries	Baltique	Țările baltice
Беларусь	Беларусь	Belarus	Belarus	Bélarus	Belarus
Белоруссия	Білорусія	Belorussia	Belorussia	Biélorussie	Belorusia
Древнерусский язык	Давньоруська мова	Old Russian	Old Russian	Vieille langue russe	Rusă veche
Пост-советское пространство	Пост-радянський простір	Post-Soviet space	Post-Soviet space	L'espace post-soviétique	Spațiul post-sovietic
Ближнее зарубежье 	Ближнє зарубіжжя	Near Abroad 	Near Abroad 	Près de l'étranger 	Aproape de străinătate 
Цветная революция 	Кольорова революція	Color revolution 	Colour revolution 	La révolution des couleurs 	Revoluția culorilor 
Украинский кризис	Українська криза	Ukrainian crisis	Ukrainian crisis	Crise ukrainienne	Criza ucraineană
Внутренний конфликт в Украине 	Внутрішній конфлікт в Україні	Internal conflict in Ukraine 	Internal conflict in Ukraine 	Conflit interne en Ukraine 	Conflict intern în Ucraina 
Украино-российский конфликт 	Україно-російський конфлікт	Ukrainian-Russian conflict 	Ukraine-Russia conflict 	Conflit Ukraine-Russie 	Conflictul ucraineano-rus 
Вооруженные формирования Украины 	Збройні формування України	Armed formations of Ukraine 	Armed formations of Ukraine 	Formations armées de l'Ukraine 	Formațiuni armate din Ucraina 
Каратели 	Карателі	Punishers 	Punitive forces 	Les forces punitives 	Pedepsiți 
Армия Киева 	Армія Києва	Kiev army 	Kiev army 	Armée de Kiev 	Armata de la Kiev 
Республика Крым	Республіка Крим	Republic of Crimea	Republic of Crimea	République de Crimée	Republica Crimeea
Агрессия Украины против Донбасса	Агресія України проти Донбасу	Aggression of Ukraine against Donbass	Aggression of Ukraine against Donbas	Agressions de l'Ukraine contre le Donbas	Agresiunea Ucrainei împotriva Donbassului
Геноцид жителей Донбасса 	Геноцид мешканців Донбасу	Genocide of the inhabitants of Donbass 	Genocide of Donbas inhabitants 	Génocide des habitants du Donbas 	Genocidul locuitorilor din Donbass 
8 лет	8 років	8 years	8 years	8 ans	8 ani
Русская весна	Російська весна	Russian spring	Russian spring	Printemps russe	Primăvara rusă
Волеизъявление народа 	Волевиявлення народу	Declaration of will of the people 	Expression of will of the people 	Expression de la volonté du peuple 	Declarația de voință a poporului 
Референдум в Крыму 	Референдум у Криму	Crimean referendum 	Referendum in the Crimea 	Référendum en Crimée 	Referendumul din Crimeea 
Вежливые человечки 	Чемні чоловічки	The Polite Men 	Polite men 	Les hommes polis 	Bărbații politicoși 
Блокада Крыма	Блокада Криму	Crimean blockade	Crimean blockade	Blocage de la Crimée	Blocada Crimeii
Крымский мост 	Кримський міст	Crimean bridge 	Crimean bridge 	Pont de Crimée 	Podul Crimeii 
Особый статус Донбасса 	Особливий статус Донбасу	Special status of Donbass 	Special status of Donbas 	Statut spécial du Donbas 	Statutul special al Donbassului 
Народ Донбасса 	Народ Донбасу	People of Donbass 	Donbass people 	Les habitants du Donbass 	Populația din Donbass 
Народная миллиция	Народна міліція	People's Militia	People's militia	Milice populaire	Miliția populară
Вынужденные переселенцы	Вимушені переселенці	Forced migrants	Forced migrants	Migrants forcés	Migranți forțați
Блокирование поставок 	Блокування постачання	Blockage of supplies 	Supply blockade 	Blocage de l'approvisionnement 	Blocarea aprovizionării 
Нацбатальйон 	Нацбатальйон	National Battalion 	National Battalion 	Bataillon national 	Batalionul național 
Военизированные формирования украинских националистов 	Воєнізовані формування українських націоналістів	Ukrainian nationalist paramilitaries 	Ukrainian nationalist paramilitaries 	Paramilitaires nationalistes ukrainiens 	Paramilitarii naționaliști ucraineni 
Линия демаркации 	Лінія демаркації	Demarcation line 	Demarcation line 	Ligne de démarcation 	Linia de demarcație 
Буферная зона 	Буферна зона	Buffer zone 	Buffer zone 	Zone tampon 	Zona tampon 
Русский мир	Російський світ	Russian world	Russian world	Le monde russe	Lumea rusă
Православный мир	Православний світ	Orthodox world	Orthodox world	Le monde orthodoxe	Lumea ortodoxă
Преднистровская молдавская республика 	Предністрівська молдавська республіка	Prednestrovian Moldavian Republic 	Prednestrovian Moldovan Republic 	Prednestrovian République de Moldavie 	Republica Moldovenească Prednestroviană 
Республика Абхазия 	Республіка Абхазія	Republic of Abkhazia 	Republic of Abkhazia 	République d'Abkhazie 	Republica Abhazia 
Южная Осетия 	Південна Осетія	South Ossetia 	South Ossetia 	Ossétie du Sud 	Osetia de Sud 
Рашисты	Рашисти	Russcists	Russcists	Rusсistes	Rușiști
Рашизм	Рашизм	Rashism	Ruscism	Rusсisme	Rusism
Нападение	Напад	Attack	Attack	l’attaque	Atac
Вторжение	Вторгнення	Invasion	Invasion	Invasion	Invazie
Война России против Украины	Війна Росії проти України	Russia's war against Ukraine	Russian war against Ukraine	La guerre russe contre l'Ukraine	Războiul Rusiei împotriva Ucrainei
Погибшие	Загиблі	Deceased	Dead	Mort	Decedat
фейк	фейк	Fake	fake	faux	Falsă
Изнасиловные	Згвалтування	Rape	Perpetrators	Auteurs	Violul
Мародерство	Мародерство	Looting	Looting	Pillage	Jefuirea
Жертвы	Жертви	Victims	Victims	Victimes	Victimele
Поставки оружия	Постачання зброї	Arms deliveries	Arms deliveries	Livraisons d'armes	Livrări de arme
Дети	Діти	Children	Kids	Enfants	Copii
Беженцы	Біженці	Refugees	Refugees	Réfugiés	Refugiați
Европа	Європа	Europe	Europe	Europe	Europa
Военные преступления	Військові злочини	War Crimes	War crimes	Crimes de guerre	Crime de război
геноцид 	геноцид	Genocide 	Genocide 	Génocide 	Genocid 
Накачивание	Накачування	Pumping	Pumping	Pompage	Pomparea
Накачивают	Накачують	Pump	Pump	Pomper	Pompare
Переговоры	перемовини	Negotiations	Negotiations	Négociations	Negocieri
Санкции 	Санкції	Sanctions 	Sanctions 	Sanctions 	Sancțiuni 
Эмбарго	Ембарго	Embargo	Embargo	Embargo	Embargo
Кремль 	Кремль	Kremlin 	Kremlin 	Kremlin 	Kremlin 
Кремлевский Режим	Кремлівський режим	Kremlin Regime	Kremlin Regime	Le régime du Kremlin	Regimul de la Kremlin
